﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
Event_FoxSpiritFamiliarGranted_CardName,Summoning Ritual,召唤仪式
Event_FoxSpiritFamiliarGranted_CardDescription,You sucessfully completed the ritual. The spirit is now temporarily a part of you.,你成功地完成了仪式。精魄暂时与你一体。
Event_FoxSpiritFamiliarGranted_DismantleActions[0].ActionName,Continue,继续
Event_FoxSpiritLeft_CardName,Fox Spirit,狐精魄
Event_FoxSpiritLeft_CardDescription,The Fox Spirit leaves you for now.,狐精魄已经离你而去。
Event_FoxSpiritLeft_DismantleActions[0].ActionName,Continue,继续
Event_WolfSpiritAngry_CardName,Wolf Spirit,狼精魄
Event_WolfSpiritAngry_CardDescription,Spirit is not impressed. ,精魄不为所动。
Event_WolfSpiritAngry_DismantleActions[0].ActionName,Continue,继续
Event_WolfSpiritBlessingGranted_CardName,Blessing,赐福
Event_WolfSpiritBlessingGranted_DismantleActions[0].ActionName,Continue,继续
Event_WolfSpiritDead_CardName,Wolf Spirit,狼精魄
Event_WolfSpiritDead_CardDescription,The Spirit used all its power and is now leaving you. ,精魄用尽了它的力量，离开你了。
Event_WolfSpiritDead_DismantleActions[0].ActionName,Continue,继续
Event_WolfSpiritFamiliar_CardName,Summoning Ritual,召唤仪式
Event_WolfSpiritFamiliar_CardDescription,Where a spirit is temporarily bound to your soul.,由此，精魄暂时与你的灵魂绑定。
Event_WolfSpiritFamiliar_DismantleActions[0].ActionName,Bind,融合
Event_WolfSpiritFamiliar_DismantleActions[1].ActionName,Ignore,忽略
Event_WolfSpiritFamiliarGranted_CardName,Summoning Ritual,召唤仪式
Event_WolfSpiritFamiliarGranted_CardDescription,You sucessfully completed the ritual. The spirit is now temporarily a part of you.,你成功地完成了仪式。精魄暂时与你一体。
Event_WolfSpiritFamiliarGranted_DismantleActions[0].ActionName,Continue,继续
Event_WolfSpiritLeft_CardName,Wolf Spirit,狼精魄
Event_WolfSpiritLeft_CardDescription,The Wolf Spirit leaves you for now.,狼精魄已经离你而去。
Event_WolfSpiritLeft_DismantleActions[0].ActionName,Continue,继续
PeaFieldGrowing_SpecialDurability4.CardStatName,Care,照料
PeaFieldGrowing_DismantleActions[0].ActionName,Inspect Field,检查耕地
PeaFieldMature_SpecialDurability4.CardStatName,Care,照料
PeaFieldMature_DismantleActions[0].ActionName*,Inspect Field,检查耕地
RyeFieldGrowing_SpecialDurability4.CardStatName,Care,照料
RyeFieldGrowing_DismantleActions[0].ActionName,Inspect Field,检查耕地
RyeFieldMature_SpecialDurability4.CardStatName,Care,照料
RyeFieldMature_DismantleActions[0].ActionName*,Inspect Field,检查耕地
TurnrootFieldGrowing_SpecialDurability4.CardStatName,Care,照料
TurnrootFieldGrowing_DismantleActions[0].ActionName,Inspect Field,检查耕地
TurnrootFieldMature_SpecialDurability4.CardStatName,Care,照料
TurnrootFieldMature_DismantleActions[0].ActionName*,Inspect Field,检查耕地
PartridgeFemaleFree_CardDescription,Feeds on its own provided there's enough to forage. Might escape if the area is not secured and its trust is low.\n\nProduces fertilized eggs if a male is present.,只要有足够的食物，它就会自己觅食。如果该区域不安全且信任度低，它可能会逃跑。\n\n如果有雄性，它会产下受精卵。
PartridgeFemaleTied_CardDescription,"Must be fed regularly to keep it alive.  Can be freed so it can feed on its own, but might escape if the area is not secured.",必须定期喂食才能存活。可以将其放养以便它自己进食，但如果该区域不安全，它可能会逃跑。
AcornsSpiritRaw_CardName,Spirit Acorns,灵魂橡子
AcornsSpiritRaw_FuelCapacity.CardStatName,Temperature,温度
AcornsSpiritRaw_SpecialDurability2.CardStatName,Quality,品质
AcornsSpiritRaw_SpecialDurability4.CardStatName,Boil,烹煮
BillberriesFermenting_CardName,Fermenting Billberries,发酵中的越橘
BillberriesFermenting_UsageDurability.CardStatName,Drying,干燥
BillberriesFermenting_FuelCapacity.CardStatName,Temperature,温度
BillberriesFermenting_SpecialDurability1.CardStatName,Cook,烹饪
BillberriesFermenting_SpecialDurability2.CardStatName,Quality,品质
BillberriesFermenting_SpecialDurability3.CardStatName,Fermenting,发酵
BillberriesFermenting_DismantleActions[0].ActionName,Eat,吃掉
SpringberriesFermenting_CardName,Fermenting Springberries,发酵中的春莓
SpringberriesFermenting_UsageDurability.CardStatName,Drying,干燥
SpringberriesFermenting_FuelCapacity.CardStatName,Temperature,温度
SpringberriesFermenting_SpecialDurability1.CardStatName,Cook,烹饪
SpringberriesFermenting_SpecialDurability2.CardStatName,Quality,品质
SpringberriesFermenting_SpecialDurability3.CardStatName,Fermenting,发酵
SpringberriesFermenting_DismantleActions[0].ActionName,Eat,吃掉
HealersMoss_DismantleActions[0].ActionName,Eat,吃掉
Cage_CardDescription,Can keep small live animals locked inside. \n\nIf a live animal is left inside it can be used to lure others of its species.,可以活捉小型动物。\n\n如果活着的动物被留在里面，它可以用来引诱其他同类。
ImprovedSnareTrap_CardName,Snare Trap,套索陷阱
ImprovedSnareTrap_DismantleActions[0].ActionName,Disassemble trap,拆除陷阱
ImprovedSnareTrap_InventorySlotsText,Bait Missing,缺乏诱饵
ImprovedSnareTrapTriggered_CardName,Snare Trap,套索陷阱
ImprovedSnareTrapTriggered_DismantleActions[0].ActionName,Rearm Trap,重置陷阱
ImprovedSnareTrapTriggered_InventorySlotsText,PLACE BAIT HERE,在此放入诱饵
CagePlaced_CardDescription,Can keep small live animals locked inside. \n\nIf an animal is left inside it can be used to lure others of its species.,可以活捉小型动物。\n\n如果动物被留在里面，它可以用来引诱其他同类。
SpiritShrine_Earth_SacredOak_CardDescription,An ancient oak. There's something special about it.,一棵古老的橡树，它与众不同。
SpiritShrine_Earth_SacredOak_Progress.OnZero.ActionDescription,Tree Down!,树倒了！
SpiritShrine_Earth_SacredOak_CardInteractions[0].ActionName,Cut Tree,砍树
SpiritShrine_Earth_SacredOak_CardInteractions[1].ActionName,Cut Tree,砍树
SpiritShrine_Earth_SacredOak_OnStatsChangeActions[0].ActionName,Create Spirit Acorns,制造灵魂橡子
SpiritShrine_Water_SacredSpring_CardInteractions[1].ActionName,Wash of Tannins,洗净鞣质
SpiritShrine_Water_SacredSpring_CardInteractions[2].ActionName,Wash the Dressing,清洗敷料
SpiritShrine_Water_SacredSpring_DismantleActions[2].ActionName,Gaze at Water,凝视水面
LQ_SpiritBadger_CardDescription,"A personified manifestation of the essence of badgerkind. \n\nCan help you with foraging, give you courage and boost your immune system.",獾类精魄的拟人化体现。\n\n可以帮助你觅食，提高勇气并增强你的免疫系统。
LQ_SpiritBoar_CardName,Boar Spirit,野猪精魄
LQ_SpiritBoar_CardDescription,"A personified manifestation of the essence of boarkind. \n\nCan help you with foraging, give you strength and courage and boost your immune system.",野猪精魄的拟人化体现。\n\n可以帮助你觅食，赋予你力量和勇气并增强你的免疫系统。
LQ_SpiritDarkness_CardDescription,"A personified manifestation of the essence of darkness. \n\nCan help you perceive things in the dark, blind your foes and make you better at hiding.",黑暗精魄的拟人化表现。\n\n可以帮助你在黑暗中感知事物，使你的敌人失明，并让你更善于隐藏。
LQ_SpiritDeer_CardName,Deer Spirit,鹿精魄
LQ_SpiritDeer_CardDescription,"A personified manifestation of the essence of deerkind. \n\nCan help you stay alert, avoid ambushes, give you strength and boost your immune system.",鹿类精魄的拟人化体现。\n\n可以帮助你保持警惕，避免伏击，赋予你力量并增强免疫系统。
LQ_SpiritEarth_CardDescription,"A personified manifestation of the essence of the earth. \n\nCan help bless your gardens and fields, heal your crops and restore the wilderness around you.",大地精魄的拟人化体现。\n\n可以赐福你的菜园和耕地、治愈你的庄稼并恢复你周围的荒野。
LQ_SpiritFire_CardDescription,A personified manifestation of the essence of fire. \n\nCan help start and feed fires as well as heal you and protect you with its warmth.,火精魄的拟人化体现。\n\n可以帮助生火和助长火势，还可以用它的温暖治愈你保护你。
LQ_SpiritFlintclaw_CardDescription,"A manifestation of the Flintclaw spirit. \n\nCan help you perceive things in the dark, make you better at hiding, foraging and working flint,  give you courage and strength, make your weapons sharper and boost your immune system.",燧爪精魄的具现化。\n\n可以帮助你在黑暗中感知事物，使你更好地隐藏，觅食和使用燧石，给你勇气和力量，使您的武器更锋利并增强你的免疫系统。
LQ_SpiritFox_CardName,Fox Spirit,狐精魄
LQ_SpiritFox_CardDescription,A personified manifestation of the essence of foxkind. \n\nCan help you escape from trouble as well as with tracking and ambushing prey.,狐类精魄的拟人化体现。\n\n可以帮助您逃离险境、追踪和伏击猎物。
LQ_SpiritWater_CardDescription,"A personified manifestation of the essence of water. \n\nCan bless water, calm you down, help you heal and aid you with fishing.",水精魄的拟人化体现。\n\n可以赐福水体，让你平静下来，帮你疗伤以及帮你钓鱼。
LQ_SpiritWolf_CardName,Wolf Spirit,狼精魄
LQ_SpiritWolf_CardDescription,"A personified manifestation of the essence of wolfkind. \n\nCan help you with tracking and chasing prey, and make you more effective in combat.",狼类精魄的拟人化体现。\n\n可以帮助你追踪和追逐猎物，并使你更高效战斗。
Spirit_Badger_CardDescription,"A personified manifestation of the essence of badgerkind. \n\nCan help you with foraging, give you courage and boost your immune system.",獾类精魄的拟人化体现。\n\n可以帮助你觅食，提高勇气并增强你的免疫系统。
Spirit_Boar_CardName,Boar Spirit,野猪精魄
Spirit_Boar_CardDescription,"A personified manifestation of the essence of boarkind. \n\nCan help you with foraging, give you strength and courage and boost your immune system.",野猪精魄的拟人化体现。\n\n可以帮助你觅食，赋予你力量和勇气并增强你的免疫系统。
Spirit_Boar_SpoilageTime.CardStatName,Attunement,共鸣
Spirit_Boar_SpoilageTime.OnZero.ActionName,Leave,离去
Spirit_Boar_Progress.OnZero.ActionName,Death,逝去
Spirit_Darkness_CardDescription,"A personified manifestation of the essence of darkness. \n\nCan help you perceive things in the dark, blind your foes and make you better at hiding.",黑暗精魄的拟人化表现。\n\n可以帮助你在黑暗中感知事物，使你的敌人失明，并让你更善于隐藏。
Spirit_Deer_CardName,Deer Spirit,鹿精魄
Spirit_Deer_CardDescription,"A personified manifestation of the essence of deerkind. \n\nCan help you stay alert, avoid ambushes, give you strength and boost your immune system.",鹿类精魄的拟人化体现。\n\n可以帮助你保持警惕，避免伏击，赋予你力量并增强免疫系统。
Spirit_Deer_SpoilageTime.CardStatName,Attunement,共鸣
Spirit_Deer_SpoilageTime.OnZero.ActionName,Leave,离去
Spirit_Deer_Progress.OnZero.ActionName,Death,逝去
Spirit_Earth_CardDescription,"A personified manifestation of the essence of the earth. \n\nCan help bless your gardens and fields, heal your crops and restore the wilderness around you.",大地精魄的拟人化体现。\n\n可以赐福你的菜园和耕地、治愈你的庄稼并恢复你周围的荒野。
Spirit_Fire_CardDescription,A personified manifestation of the essence of fire. \n\nCan help start and feed fires as well as heal you and protect you with its warmth.,火精魄的拟人化体现。\n\n可以帮助生火和助长火势，还可以用它的温暖治愈你保护你。
Spirit_Flintclaw_CardDescription,"A manifestation of the Flintclaw spirit. \n\nCan help you perceive things in the dark, make you better at hiding, foraging and working flint,  give you courage and strength, make your weapons sharper and boost your immune system.",燧爪精魄的具现化。\n\n可以帮助你在黑暗中感知事物，使你更好地隐藏，觅食和使用燧石，给你勇气和力量，使您的武器更锋利并增强你的免疫系统。
Spirit_Fox_CardName,Fox Spirit,狐精魄
Spirit_Fox_CardDescription,A personified manifestation of the essence of foxkind. \n\nCan help you escape from trouble as well as with tracking and ambushing prey.,狐类精魄的拟人化体现。\n\n可以帮助您逃离险境、追踪和伏击猎物。
Spirit_Fox_SpoilageTime.CardStatName,Attunement,共鸣
Spirit_Fox_SpoilageTime.OnZero.ActionName,Leave,离去
Spirit_Fox_Progress.OnZero.ActionName,Death,逝去
Spirit_Water_CardDescription,"A personified manifestation of the essence of water. \n\nCan bless water, calm you down, help you heal and aid you with fishing.",水精魄的拟人化体现。\n\n可以赐福水体，让你平静下来，帮你疗伤以及帮你钓鱼。
Spirit_Wolf_CardName,Wolf Spirit,狼精魄
Spirit_Wolf_CardDescription,"A personified manifestation of the essence of wolfkind. \n\nCan help you with tracking and chasing prey, and make you more effective in combat.",狼类精魄的拟人化体现。\n\n可以帮助你追踪和追逐猎物，并使你更高效战斗。
Spirit_Wolf_SpoilageTime.CardStatName,Attunement,共鸣
Spirit_Wolf_SpoilageTime.OnZero.ActionName,Leave,离去
Spirit_Wolf_Progress.OnZero.ActionName,Death,逝去
Focus_NotEnoughText,Not enough focus.,专注度不够。
Willpower_NotEnoughText,Not enough willpower.,意志力不够。
EnchantAnItem_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
BeastAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
BirdAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
DarknessAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
EarthAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
FireAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
FlintAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
WaterAffinity_NotEnoughText,Not enough affinity.,亲和度不够。
AlertnessAid_GameName,Alertness Aid,警觉援助
AlertnessAid_Description,A spirit blessing. Makes you harder to ambush.,一种精魄赐福。让你更难以被伏击。
AlertnessAid_Statuses[0].GameName,Alertness Aid,警觉援助
AlertnessAid_Statuses[1].GameName,Alertness Aid,警觉援助
AlertnessAid_Statuses[2].GameName,Alertness Aid,警觉援助
AlertnessAid_Statuses[3].GameName,Alertness Aid,警觉援助
AlertnessAid_Statuses[4].GameName,Alertness Aid,警觉援助
AlertnessAid_Statuses[5].GameName,Alertness Aid,警觉援助
AmbushAid_GameName,Stalker's Favour,追猎者的最爱
AmbushAid_Description,A spirit blessing. Makes you better at ambushing others.,一种精魄赐福。让你更擅长伏击。
AmbushAid_Statuses[0].GameName,Ambush Aid,伏击援助
AmbushAid_Statuses[1].GameName,Ambush Aid,伏击援助
AmbushAid_Statuses[2].GameName,Ambush Aid,伏击援助
AmbushAid_Statuses[3].GameName,Ambush Aid,伏击援助
AmbushAid_Statuses[4].GameName,Ambush Aid,伏击援助
AmbushAid_Statuses[5].GameName,Ambush Aid,伏击援助
ChasingAid_GameName,Chasing Aid,追逐援助
ChasingAid_Description,A spirit blessing. Makes you better at chasing prey.,一种精魄赐福。让你更擅长追逐猎物。
ChasingAid_Statuses[0].GameName,Chasing Aid,追逐援助
ChasingAid_Statuses[1].GameName,Chasing Aid,追逐援助
ChasingAid_Statuses[2].GameName,Chasing Aid,追逐援助
ChasingAid_Statuses[3].GameName,Chasing Aid,追逐援助
ChasingAid_Statuses[4].GameName,Chasing Aid,追逐援助
ChasingAid_Statuses[5].GameName,Chasing Aid,追逐援助
ForagingAid_Description,A spirit blessing. Makes you better at foraging.,一种精魄赐福。让你更擅长觅食。
ForagingAid_Statuses[1].GameName,Foraging Aid,觅食援助
ForagingAid_Statuses[2].GameName,Foraging Aid,觅食援助
ForagingAid_Statuses[3].GameName,Foraging Aid,觅食援助
ForagingAid_Statuses[4].GameName,Foraging Aid,觅食援助
ForagingAid_Statuses[5].GameName,Foraging Aid,觅食援助
TrackingAid_GameName,Tracking Aid,追踪援助
TrackingAid_Description,A spirit blessing. Makes you better at tracking.,一种精魄赐福。让你更擅长追踪。
TrackingAid_Statuses[0].GameName,Tracking Aid,追踪援助
TrackingAid_Statuses[1].GameName,Tracking Aid,追踪援助
TrackingAid_Statuses[2].GameName,Tracking Aid,追踪援助
TrackingAid_Statuses[3].GameName,Tracking Aid,追踪援助
TrackingAid_Statuses[4].GameName,Tracking Aid,追踪援助
TrackingAid_Statuses[5].GameName,Tracking Aid,追踪援助
BadgerUrge_Description,"Raises your stress levels if not satisfied.\nCan be satisfied by foraging, digging and spending time underground.",如果得不到满足，将增加你的压力水平。\n可以通过觅食、挖掘和待在地下得到满足。
BoarUrge_GameName,Boar Urge,野猪本能
BoarUrge_Description,"Raises your stress levels if not satisfied.\nCan be satisfied by foraging, traveling through muddy areas and eating mushrooms and roots.",如果得不到满足，将增加你的压力水平。\n可以通过觅食、穿越泥泞区域、吃蘑菇和各种根类得到满足。
BoarUrge_Statuses[0].GameName,Boar Urge,野猪本能
BoarUrge_Statuses[1].GameName,Boar Urge,野猪本能
BoarUrge_Statuses[2].GameName,Boar Urge,野猪本能
DarknessUrge_Description,Raises your stress levels if not satisfied.\nCan be satisfied by spending time in darkness.,如果得不到满足，将增加你的压力水平。\n可以通过呆在黑暗中得到满足。
DeerUrge_GameName,Deer Urge,鹿之本能
DeerUrge_Description,"Raises your stress levels if not satisfied.\nCan be satisfied by meeting deers, traveling through the forest and eating vegetables.",如果得不到满足，将增加你的压力水平。\n可以通过遇到鹿、穿越森林、吃蔬菜得到满足。
DeerUrge_Statuses[0].GameName,Deer Urge,鹿之本能
DeerUrge_Statuses[1].GameName,Deer Urge,鹿之本能
DeerUrge_Statuses[2].GameName,Deer Urge,鹿之本能
EarthUrge_Description,Raises your stress levels if not satisfied.\nCan be satisfied by interacting with plants.,如果得不到满足，将增加你的压力水平。\n可以通过与植物互动得到满足。
FireUrge_Description,Raises your stress levels if not satisfied.\nCan be satisfied by interacting with fires.,如果得不到满足，将增加你的压力水平。\n可以通过与火互动得到满足。
FlintUrge_Description,Raises your stress levels if not satisfied.\nCan be satisfied by interacting with flint.,如果得不到满足，将增加你的压力水平。\n可以通过与燧石互动得到满足。
FoxUrge_GameName,Fox Urge,狐狸本能
FoxUrge_Description,"Raises your stress levels if not satisfied.\nCan be satisfied by successfully hunting small game, by butchering small animals and eating meat.",如果得不到满足，将增加你的压力水平。\n可以通过成功猎捕小动物、屠宰小动物和吃肉得到满足。
FoxUrge_Statuses[0].GameName,Fox Urge,狐狸本能
FoxUrge_Statuses[1].GameName,Fox Urge,狐狸本能
FoxUrge_Statuses[2].GameName,Fox Urge,狐狸本能
WaterUrge_Description,Raises your stress levels if not satisfied.\nCan be satisfied by interacting with water.,如果得不到满足，将增加你的压力水平。\n可以通过与水互动得到满足。
WolfUrge_GameName,Wolf Urge,狼之本能
WolfUrge_Description,"Raises your stress levels if not satisfied.\nCan be satisfied by hunting, fighting, chasing, butchering and eating animals.",如果得不到满足，将增加你的压力水平。\n可以通过狩猎、战斗、追逐、屠宰和食用动物得到满足。
WolfUrge_Statuses[0].GameName,Wolf Urge,狼之本能
WolfUrge_Statuses[1].GameName,Wolf Urge,狼之本能
WolfUrge_Statuses[2].GameName,Wolf Urge,狼之本能
tag_BoarSpiritUrgeReducer_InGameName,Mushroom or Root,蘑菇或根
tag_Fermentable_InGameName,Boilable,可煮的
tag_BoarHabitat_InGameName,Boar Habitat,野猪栖息地
CUSTOM_CHECKPOINT,Custom checkpoint,手动存档
LAST_DAY_CHECKPOINT,Restart day,重置今日
LAST_SEASON_CHECKPOINT,Restart season,重置本季
LAST_WEEK_CHECKPOINT,Restart week,重置本周
LAST_YEAR_CHECKPOINT,Restart year,重置本年
UNKNOWN_CHARACTER,Unknown,未知
YEAR_NUMBER,Year {0},第{0}年
CHARACTER_CREATION_CONFIRM,Your character will have the following reproductive organs:,您的角色将拥有以下生殖器官：
LOAD_CHECKPOINT,Load Checkpoint,重置
LOAD_CUSTOM_CHECKPOINT,Load,加载
SAVE_CUSTOM_CHECKPOINT,Save,保存
Bp_Amulet_CardName*,Amulet,护身符
Bp_FishingBait_CardDescription,Can be equipped to a fishing line to substantially increase your chances of catching fish.,可以装在钓鱼线上，大大增加你钓到鱼的成功率。
Bp_Clay_CardName,Clay,粘土
Bp_GardenPlot_CardDescription,"Plants and mushrooms can grow here, provided they have the right level of acidity, nutrition and hydration.\n\nExcessive fertilizing can lead to mites, and excessive hydration to fungus. Inspecting your gardens often can help your plants grow stronger.",植物和蘑菇可以在这里生长，只要它们具有适当的酸度、养分和湿度。\n\n过度施肥会导致螨虫病，湿度过高会导致真菌感染。经常检查你的花园，帮助你的植物长得更强壮。
Bp_Sieve_CardName,Sieve,筛子
Bp_Sieve_CardDescription,A useful device for mass producing clay.,用于大规模生产黏土的有用装置。
Combat_EncounterStag_EnemyActions[4].PlayerWounds.MediumWounds[5].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[4].PlayerWounds.SeriousWounds[8].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[6].PlayerWounds.MediumWounds[4].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[6].PlayerWounds.SeriousWounds[8].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[7].PlayerWounds.MediumWounds[4].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[7].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[8].PlayerWounds.MediumWounds[4].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterStag_EnemyActions[8].PlayerWounds.SeriousWounds[4].WoundLog.LogText,You fractured your rib!,你肋骨骨折了！
Combat_EncounterWolf_EnemyActions[2].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a small bite!,你被咬出一个小伤口！
Combat_EncounterWolf_EnemyActions[3].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a small bite!,你被咬出一个小伤口！
Combat_EncounterWolf_EnemyActions[4].PlayerWounds.MinorWounds[1].WoundLog.LogText,You got a small bite!,你被咬出一个小伤口！
ClearingOak_GreenGlade_SpecialDurability3.CardStatName,Foraging,觅食
ClearingOak_GreenGlade_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ClearingOak_GreenGlade_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ClearingOak_GreenGlade_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ClearingOak_MossyClearing_SpecialDurability1.CardStatName,Trees,树林
ClearingOak_MossyClearing_SpecialDurability3.CardStatName,Foraging,觅食
ClearingOak_MossyClearing_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ClearingOak_MossyClearing_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ClearingOak_MossyClearing_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ClearingPine_FlowerGlade_SpecialDurability3.CardStatName,Foraging,觅食
ClearingPine_FlowerGlade_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
ClearingPine_FlowerGlade_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
ClearingPine_FlowerGlade_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_GreatOak_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_GreatOak_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_GreatOak_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_GreenGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_GreenGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_GreenGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_MossyGrove_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_MossyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_MossyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_MossyGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_MossyStone_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_MossyStone_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_MossyStone_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_MuddyGrove_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_MuddyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_MuddyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_MuddyGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_OakenGrove_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_OakenGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_OakenGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_OakenGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_OldStump_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_OldStump_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_OldStump_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_SecretGrove_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_SecretGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_SecretGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_SecretGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_ShadyGrove_SpecialDurability3.CardStatName,Foraging,觅食
GroveOak_ShadyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GroveOak_ShadyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GroveOak_ShadyGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GrovePine_DeerGrove_SpecialDurability3.CardStatName,Foraging,觅食
GrovePine_DeerGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GrovePine_DeerGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GrovePine_DeerGrove_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GrovePine_RockyGrove_SpecialDurability3.CardStatName,Foraging,觅食
GrovePine_RockyGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GrovePine_RockyGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GrovePine_RockyGrove_DismantleActions[2].ActionDescription,"Gives you wood, leaves and stones.",给你木材、树叶和石头。
GrovePine_SlopedGrove_SpecialDurability3.CardStatName,Foraging,觅食
GrovePine_SlopedGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
GrovePine_SlopedGrove_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
GrovePine_SlopedGrove_DismantleActions[2].ActionDescription,"Gives you wood, leaves and stones.",给你木材、树叶和石头。
Grove_WillOWispGrove1_CardDescription,It's too dark to see anything.,太黑了，看不到任何东西。
Grove_WillOWispGrove2_CardDescription,It's too dark to see anything.,太黑了，看不到任何东西。
River_ClearingOak_RiverClearing_SpecialDurability3.CardStatName,Foraging,觅食
River_ClearingOak_RiverClearing_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
River_ClearingOak_RiverClearing_DismantleActions[1].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_ClearingOak_RiverClearing_DismantleActions[2].ActionDescription,Gives you wood and leaves.,给你木材和树叶。
River_GroveOak_FloodedGrove_SpecialDurability3.CardStatName,Foraging,觅食
River_GroveOak_FloodedGrove_DismantleActions[0].ActionDescription,Has a chance to give you food and herbs.,有机会给你食物和药草。
